"TABLE_NAME","FIELD_NAME","FIELD_TYPE_SQL","FIELD_LENGTH","FIELD_DESC"
"stckbnd","Pd3","MONEY","8","Pd3"
"stckbnd","Pd4","MONEY","8","Pd4"
"stckbnd","Pd5","MONEY","8","Pd5"
"stckbnd","Pd6","MONEY","8","Pd6"
"stckbnd","Pd7","MONEY","8","Pd7"
"stckbnd","Pd8","MONEY","8","Pd8"
"stckbnd","Pd9","MONEY","8","Pd9"
"stckbnd","Pe1","MONEY","8","Pe1"
"stckbnd","Pe2","MONEY","8","Pe2"
"stckbnd","Pe3","MONEY","8","Pe3"
"stckbnd","Pe4","MONEY","8","Pe4"
"stckbnd","Pe5","MONEY","8","Pe5"
"stckbnd","Pe6","MONEY","8","Pe6"
"stckbnd","Pe7","MONEY","8","Pe7"
"stckbnd","Pe8","MONEY","8","Pe8"
"stckbnd","Pe9","MONEY","8","Pe9"
"stckexc","Company","INTEGER","4","Company"
"stckexc","Type","INTEGER","4","Type"
"stckexc","Band","INTEGER","4","Band"
"stckexc","Price","MONEY","8","Price"
"stckexc","PriceB","MONEY","8","PriceB"
"stckexc","PriceC","MONEY","8","PriceC"
"stckexc","PriceD","MONEY","8","PriceD"
"stckmcat","Company","INTEGER","4","Company"
"stckmcat","Mc1","INTEGER","4","Mc1"
"stckmcat","Mc2","INTEGER","4","Mc2"
"stckmcat","Mc3","INTEGER","4","Mc3"
"stckmcat","Mc4","INTEGER","4","Mc4"
"stckmcat","Mc5","INTEGER","4","Mc5"
"stckmcat","Mc6","INTEGER","4","Mc6"
"stcktrns","Trandate","TIMESTAMP","8","Trandate"
"stcktrns","Q","INTEGER","4","Q"
"stcktrns","From","INTEGER","4","From"
"stcktrns","To","INTEGER","4","To"
"stcktrns","Type","INTEGER","4","Type"
"stkmbnd","Compref","INTEGER","4","Compref"
"stkmbnd","Mcatref","INTEGER","4","Mcatref"
"stkmbnd","Band","INTEGER","4","Band"
"subcode","IDX","AUTOINC","4",""
"subcode","Masteritem","INTEGER","4","Masteritem"
"subcode","Subitem","INTEGER","4","Subitem"
"subcode","Mastertype","INTEGER","4","Mastertype"
"subcode","Subtype","INTEGER","4","Subtype"
"subcode","xComposite","INTEGER","4",""
"subcode","BarcodeComponentState","BYTE","1","TBarcodeComponentState = (bcsReadyToGo, bcsReturned, bcsUnreturned, bscDetached)"
"subdata","Subhline","INTEGER","4","Subhline"
"subdata","Eqlline","INTEGER","4","Eqlline"
"subdata","Sublistno","INTEGER","4","Sublistno"
"subdata","Eqlno","INTEGER","4","Eqlno"
"subdata","Q","INTEGER","4","Q"
"subdata","Idx","AUTOINC","4",""
"taxcodes","IDX","AUTOINC","4",""
"taxcodes","Tax_code","SHORTSTRING","6","Tax_code"
"taxcodes","Site","INTEGER","4","Site"
"taxcodes","Tax_rate","DOUBLE PRECISION","8","Tax_rate"
"taxcodes","EUCategoryCode","BYTE","1","TEUTaxCodeCategory = (etcStandard, etcZero, etcExempt, etcReverseCharge, etcIntraCommunityReverseCharge, etcExemptExport, etcOut"
"taxcodes","EUExemptionCode","CHARACTER VARYING","31","e.g. VATEX-EU-132-1A"
"taxcodes","EUExemptionDescription","CHARACTER VARYING","101","used if no EUExemptionCode"
"updates","Idx","AUTOINC","4","Idx"
"updates","Date","TIMESTAMP","8","Date"
"updates","DBVersion","INTEGER","4","DBVersion"
"updates","UpdateVersion_No","BOOLEAN","1",""
"veh-type","Vehicle_counter","AUTOINC","4","Vehicle_counter"
"veh-type","Generic_type","SHORTSTRING","51","Generic_type"
"veh-type","Nominal","INTEGER","4","Nominal"
"veh-type","DailyA","MONEY","8",""
"veh-type","DailyB","MONEY","8",""
"veh-type","DailyC","MONEY","8",""
"veh-type","DailyD","MONEY","8",""
"veh-type","DistanceA","MONEY","8",""
"veh-type","DistanceB","MONEY","8",""
"veh-type","DistanceC","MONEY","8",""
"veh-type","DistanceD","MONEY","8",""
"veh-type","DailyInternalCostA","MONEY","8",""
"veh-type","DailyInternalCostB","MONEY","8",""
"veh-type","DailyInternalCostC","MONEY","8",""
"veh-type","DailyInternalCostD","MONEY","8",""
"veh-type","DistanceInternalCostA","MONEY","8",""
"veh-type","DistanceInternalCostB","MONEY","8",""
"veh-type","DistanceInternalCostC","MONEY","8",""
"veh-type","DistanceInternalCostD","MONEY","8",""
"veh-type","GrossWeight","INTEGER","4",""
"veh_spec","Vehicle_idx","AUTOINC","4","Vehicle_idx"
"veh_spec","Generic_type","INTEGER","4","Generic_type"
"veh_spec","Specific","SHORTSTRING","26","Specific"
"veh_spec","Registration","SHORTSTRING","11","Registration"
"veh_spec","Site","INTEGER","4","Site"
"veh_spec","Retired","BOOLEAN","1",""
"veh_spec","MaxGoodsWeight","INTEGER","4",""
"venue","Company","INTEGER","4","Company"
"venue","Directions","CHARACTER LARGE OBJECT","8","Directions"
"venue","Access","CHARACTER LARGE OBJECT","8","Access"
"venue","Terrain","CHARACTER LARGE OBJECT","8","Terrain"
"venue","Stage","CHARACTER LARGE OBJECT","8","Stage"
"venue","HouseLighting","CHARACTER LARGE OBJECT","8","HouseLighting"
"venue","HouseSound","CHARACTER LARGE OBJECT","8","HouseSound"
"venue","General","CHARACTER LARGE OBJECT","8","General"
"venue","StageDoor","SHORTSTRING","26","StageDoor"
"venue","HouseInfo","CHARACTER LARGE OBJECT","8","HouseInfo"
"venue","Power","CHARACTER LARGE OBJECT","8","Power"
"venue","StageDoorFax","SHORTSTRING","26","StageDoorFax"
"venue","CapacityStanding","INTEGER","4","CapacityStanding"
"venue","CapacitySeated","INTEGER","4","CapacitySeated"
"venue","Map","BINARY LARGE OBJECT","8","Map"
"venue","Picture","BINARY LARGE OBJECT","8","Picture"
"venue","Plan","BINARY LARGE OBJECT","8","Plan"
"venue","Rigging","CHARACTER LARGE OBJECT","8","Rigging"
"venue","IDX","AUTOINC","4",""
"venue","VenueName","SHORTSTRING","51",""
